Date,Predicted Leads,
12-08-2023,12.986722,
13-08-2023,11.255441,
14-08-2023,10.471268,
15-08-2023,12.684147,
16-08-2023,12.169242,
17-08-2023,12.84073,
18-08-2023,11.288935,
19-08-2023,11.752304,
20-08-2023,9.790021,
21-08-2023,10.985205,
22-08-2023,11.39826,
23-08-2023,11.560182,
24-08-2023,10.847701,
25-08-2023,10.289385,
26-08-2023,11.98697,
27-08-2023,11.217647,
28-08-2023,10.78979,
29-08-2023,11.183424,
30-08-2023,10.332316,
31-08-2023,10.361979,
01-09-2023,9.716266,
02-09-2023,12.151795,
03-09-2023,12.508313,
04-09-2023,10.253102,
05-09-2023,12.706422,
06-09-2023,10.648977,
07-09-2023,12.555552,
08-09-2023,11.887043,
09-09-2023,12.392435,
10-09-2023,8.139344,
