Date,Predicted Leads (Raj)
12-08-2023,10.57422
13-08-2023,10.899745
14-08-2023,10.695555
15-08-2023,10.710204
16-08-2023,9.998612
17-08-2023,11.55784
18-08-2023,11.057505
19-08-2023,9.616709
20-08-2023,11.388567
21-08-2023,8.947418
22-08-2023,10.831742
23-08-2023,12.906652
24-08-2023,11.391937
25-08-2023,10.772338
26-08-2023,10.408584
27-08-2023,10.79228
28-08-2023,11.785693
29-08-2023,11.436937
30-08-2023,10.637068
31-08-2023,10.81871
01-09-2023,10.065199
02-09-2023,11.911544
03-09-2023,11.388512
04-09-2023,10.260176
05-09-2023,11.775541
06-09-2023,11.854506
07-09-2023,10.670074
08-09-2023,10.272802
09-09-2023,10.056315
10-09-2023,11.127202
